"Date","Category","Usage","ResCount","SubCount"
"2022-02-27T07:00:01Z","Metrics","56.45","10788","2943"
"2022-02-27T07:00:01Z","PerformanceCounters","57.61","11277","3014"
"2022-02-27T07:00:01Z","EventHub","58.53","6653","223"
"2022-02-27T07:00:01Z","FileLogs","0","0","0"
"2022-02-27T07:00:01Z","BlobStorage","0.01","5","3"
"2022-02-27T07:00:01Z","SysLogs","0.01","8","1"
"2022-02-27T07:00:01Z","TableStorage","99.42","19420","3662"
"2022-02-20T07:00:01Z","BlobStorage","0.03","20","8"
"2022-02-20T07:00:01Z","SysLogs","0.01","5","2"
"2022-02-20T07:00:01Z","FileLogs","0","0","0"
"2022-02-20T07:00:01Z","EventHub","60.01","6689","244"
"2022-02-20T07:00:01Z","PerformanceCounters","60.39","11057","3106"
"2022-02-20T07:00:01Z","TableStorage","99.49","20249","3802"
"2022-02-20T07:00:01Z","Metrics","59.33","10496","3019"
"2022-02-13T07:00:01Z","FileLogs","0","0","0"
"2022-02-13T07:00:01Z","SysLogs","0.01","8","3"
"2022-02-13T07:00:01Z","BlobStorage","0.02","18","7"
"2022-02-13T07:00:01Z","Metrics","58.94","10713","3121"
"2022-02-13T07:00:01Z","PerformanceCounters","59.82","11126","3205"
"2022-02-13T07:00:01Z","EventHub","60.45","6789","247"
"2022-02-13T07:00:01Z","TableStorage","99.42","20055","3920"
"2022-02-06T07:00:01Z","FileLogs","0","0","0"
"2022-02-06T07:00:01Z","TableStorage","99.54","22277","3730"
"2022-02-06T07:00:01Z","PerformanceCounters","50.5","11739","3054"
"2022-02-06T07:00:01Z","EventHub","49.8","7421","253"
"2022-02-06T07:00:01Z","Metrics","49.12","11132","2982"
"2022-02-06T07:00:01Z","BlobStorage","0.02","16","5"
"2022-02-06T07:00:01Z","SysLogs","0.01","9","4"
"2022-01-30T07:00:01Z","EventHub","46.48","7315","256"
"2022-01-30T07:00:01Z","PerformanceCounters","47.75","10646","2749"
"2022-01-30T07:00:01Z","TableStorage","99.03","30567","3404"
"2022-01-30T07:00:01Z","BlobStorage","0.01","2","2"
"2022-01-30T07:00:01Z","SysLogs","0.01","4","2"
"2022-01-30T07:00:01Z","Metrics","47.55","10663","2673"
"2022-01-30T07:00:01Z","FileLogs","0","0","0"
"2022-01-23T07:00:01Z","TableStorage","99.56","26057","3610"
"2022-01-23T07:00:01Z","PerformanceCounters","52.75","10316","2978"
"2022-01-23T07:00:01Z","Metrics","51.5","9801","2883"
"2022-01-23T07:00:01Z","EventHub","43.24","5039","224"
"2022-01-23T07:00:01Z","SysLogs","0.01","6","3"
"2022-01-23T07:00:01Z","BlobStorage","0.01","4","4"
"2022-01-23T07:00:01Z","FileLogs","0","0","0"
"2022-01-16T07:00:01Z","FileLogs","0","0","0"
"2022-01-16T07:00:01Z","TableStorage","99.66","21082","3606"
"2022-01-16T07:00:01Z","PerformanceCounters","62.38","11799","2937"
